feature,pc1,pc2,pc3,clip_upper_99
log_chars,0.4076018533849013,0.14885668393286683,-0.06242740595263506,6.187032237531674
log_lines,0.3127769796987201,0.22898000934554422,-0.09913522437346246,2.593110386879959
log_mean_line,0.37968172776260184,-0.00860599031899079,-0.007439951965706161,3.998783818868283
log_max_line,0.40211132351756734,0.05469836207739869,-0.020856450810261204,4.423391560394351
periods_100,0.22344907992641855,-0.31510053810976535,0.11585783253640211,3.029230769230778
commas_100,0.17453894091482788,-0.1539720813912665,0.06165656776065445,3.7037037037037037
question_100,-0.10465272158433371,-0.39990310424645537,-0.14623690685968935,8.333333333333334
exclaim_100,0.1147438413877254,-0.03772081791619254,-0.041687481166592696,1.8588704943055245
newline_100,-0.08576041815922915,0.20231791307937455,-0.056564235309205624,11.764705882352942
no_stop_line_ratio,-0.03369081775757915,0.5017201474919344,0.09057532484344821,1.0
no_jp_punct_line_ratio,-0.27744757963526356,0.29365402763487597,-0.11294242616047795,1.0
terminal_period_ratio,0.22424813986820313,-0.3122412133454675,0.1139340824233536,0.6666666666666666
quote_100,0.14269642576808828,0.06346517986774085,-0.015710034339118797,1.362899601754142
parenthesis_100,0.06991260950467565,0.12178709044461077,-0.09235659285151485,3.122316232210109
ellipsis_100,0.12889429532512778,0.009167231970335286,-0.015048734967461754,1.7814655172413958
repeat_symbol_100,0.06422745558931468,-0.026706834486875008,-0.05503434541561272,1.3191007319623573
comma_ascii_100,1.7670484276950664e-28,-1.9852334701272664e-23,-1.0164395367051604e-20,0.0
space_100,0.022509520441311916,0.06961751112955529,-0.40785058958321124,11.915932203389845
hiragana_ratio,-0.07273042154108843,0.04531492429513066,0.5445464657735141,0.9054545454545462
kanji_ratio,0.027481017270287067,0.07340917608491856,-0.03763873168102034,0.536758241758242
katakana_ratio,-0.01293554350401407,-0.05174682053218553,-0.3253003079726037,0.42182186234817837
half_kana_ratio,0.2069698620686325,-0.04135120877448307,0.02314054721889713,0.16927083333333331
latin_ratio,0.06785644316946453,0.05994383368392911,-0.21621708780621343,0.2795664621676929
digit_ratio,-0.03593503813972055,-0.006717643645750488,-0.4202299873118111,0.30731677771047855
polite_100,0.02451727994352823,0.011684892278102394,0.03915877547013318,3.8011611030479036
first_person_100,-0.08339009396320576,-0.04583892702928618,0.0402705791475268,8.471014492753662
second_person_100,-0.1423165403829514,-0.01916694457141784,0.2148703359737464,8.621212121212205
connective_100,0.07749621879543346,0.03251405234761717,0.07162457650672253,5.100000000000029
quotative_100,0.11209364010695344,0.08562636482862614,0.02204495897672127,2.34662236987819
hedge_100,0.02860111810677262,0.044944214295348284,0.08277680598421332,4.545454545454546
nda_ga_100,0.09196623520264804,0.010167504911853137,0.04442313911668807,1.5970302099334384
karana_100,0.030656303962989514,0.03553958910066783,0.07000459726693936,2.380952380952381
be_100,-0.1785443399562751,-0.32751651900632117,-0.18332999863191332,8.621212121212205
