k,silhouette,ari
2,0.10883621364748064,0.9966173394475591
3,0.10976828403513235,0.9333554117395364
4,0.11301955740722502,0.9729528303228289
5,0.1233294321262541,0.9943015234727336
6,0.10875766949912465,0.6736504966431683
7,0.09462760427298784,0.5230457490884841
8,0.10649999876693166,0.5303534674430951
